ORGANIZACION,Comentario,Comentario Sin tratar,Etiqueta,Analyzer
provident,aprendido bastante practicas parecer sido complementarias visualizado licenciatura,he aprendido bastante durante mis practicas a mi parecer han sido muy complementarias a lo que he visualizado en mi licenciatura,positive,"AnalyzerOutput(output=POS, probas={POS: 0.570, NEU: 0.407, NEG: 0.023})"
binarapp,puse brindo beneficios puesto acordamos algun tipo beneficio decir incumplieron parte gusto aplique conocimientos aprendi carrera practicas asi aprendi hacer cosas hacia hace realista puesto trabajos expectativas decir aprender nuevas cosas aplicar conocimiento previamente aprendido tambien puse capacito parcialmente bueno puesto importante aprender manera autodidacta si duda preguntarle alguien mas conocimientos,"puse que no me brindo los beneficios puesto que no acordamos algun tipo de beneficio es decir no incumplieron en esa parte 
me gusto que aplique los conocimientos que aprendi en la carrera en las practicas asi como aprendi a hacer cosas que no hacia esto se me hace realista puesto que en los trabajos esas son las expectativas que tengo es decir aprender nuevas cosas y aplicar el conocimiento previamente aprendido
tambien puse que me capacito parcialmente y como algo bueno puesto que es importante el aprender de manera autodidacta y si se tiene una duda preguntarle a alguien con mas conocimientos",positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.798, POS: 0.178, NEG: 0.024})"
algoritmia labs,desafiante aprendi cosas diferentes sabi,fue desafiante y aprendi cosas muy diferentes a lo que sabi,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.574, POS: 0.360, NEG: 0.066})"
provident,recibi oferta informal trabajo permanente aun seguro,recibi una oferta informal sobre un trabajo permanente pero aun no es nada seguro,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.904, POS: 0.071, NEG: 0.025})"
museo naciional de los ferrocarriles,organizacion excelente,es una organizacion excelente,positive,"AnalyzerOutput(output=POS, probas={POS: 0.949, NEU: 0.046, NEG: 0.005})"
provident,tal vez seria buena idea organizacion revisara plan estudios licenciatura practicantes propusieran proyectos mas acorde empresa mejor aprovechamiento conocimientos practicantes,tal vez seria buena idea que la organizacion revisara el plan de estudios de la licenciatura de los practicantes para que propusieran proyectos mas acorde a este y que la empresa tuviera un mejor aprovechamiento de los conocimientos de sus practicantes,positive,"AnalyzerOutput(output=POS, probas={POS: 0.595, NEU: 0.388, NEG: 0.017})"
secretaria de planeacion y finanzas,trabaje bien embargo ambiente trabaja inseguro robaron pertenencias mochilalaptop dentro instalaciones hacia practicas pesar habia camaras funcionaban seguridad dio hablar,"trabaje bien sin embargo el ambiente donde se trabaja es un poco inseguro ya que me robaron mis pertenencias mochilalaptop dentro de las instalaciones donde hacia mis practicas y a pesar de que habia camaras estas no funcionaban la seguridad dio mucho de que hablar
",negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.518, NEG: 0.423, POS: 0.058})"
tsystems de mexico,desarrolle bastante habilidades programacion habilidades finanzas buena empresa,desarrolle bastante mis habilidades en programacion y algunas habilidades en finanzas muy buena empresa,positive,"AnalyzerOutput(output=POS, probas={POS: 0.915, NEU: 0.080, NEG: 0.005})"
uma konkon buap,gran experiencia formar parte proyecto,fue una gran experiencia formar parte del proyecto,positive,"AnalyzerOutput(output=POS, probas={POS: 0.964, NEU: 0.032, NEG: 0.003})"
hospital angeles puebla,,no,positive,"AnalyzerOutput(output=POS, probas={POS: 0.498, NEU: 0.289, NEG: 0.213})"
cibior,gran instituto investigacion,es un gran instituto para la investigacion ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.851, NEU: 0.135, NEG: 0.014})"
instituto tecnologico de tehuacan,,no,positive,"AnalyzerOutput(output=POS, probas={POS: 0.498, NEU: 0.289, NEG: 0.213})"
alina nutrisport,buena experiencia,muy buena experiencia ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.526, NEU: 0.400, NEG: 0.074})"
alina nutrisport,voy satisfecha aprendi alina nutrisport malos entendido final pude hablar alina llegamos acuerdo favorecio quitaron miedos inseguridades tenia inicio trate sacar trabajos adelante aunque inicio si costaba despues mejore tambien desenvolviendo largo practicas trato alina hacia practicantes bueno hace ver errores poder mejorar acercas decirles dudas trata resolverlos conclusion trato dio alina bueno contenta aprendi practicas profesion i,me voy satisfecha con los que aprendi en alina nutrisport tuvimos algunos malos entendido pero al final pude hablar de ellos con alina y llegamos a un acuerdo donde me favorecio tanto como a ella se me quitaron miedos e inseguridades que tenia al inicio trate de sacar mis trabajos adelante aunque al inicio si me costaba pero despues mejore y tambien me fui desenvolviendo a lo largo de las practicas el trato que tiene alina hacia nosotros practicantes es muy bueno te hace ver tus errores para poder mejorar y cuando te acercas con ella para decirles tus dudas trata de resolverlos en conclusion el trato que me dio alina fue muy bueno y estoy contenta con lo que aprendi en mi practicas en la profesion i,positive,"AnalyzerOutput(output=NEU, probas={NEU: 0.529, POS: 0.442, NEG: 0.029})"
hospital puebla,organizacion buena ensenando casi jefes duda hacian bien trabajo ensenanza capacitarte parte gustado mas exigencia respecto conocimientos si especifico fundamental desarrollo ayudar algun modo presionar practicantes estudiar pulir conocimientos fallan veces creemos tan importantes,la organizacion es buena ensenando casi todos mis jefes sin duda hacian muy bien su trabajo tanto en ensenanza como en capacitarte por mi parte me hubiera gustado mas exigencia con respecto a mis conocimientos si yo no se algo especifico y que es fundamental para mi desarrollo ayudar y de algun modo presionar a los practicantes para estudiar o pulir los conocimientos que nos fallan ya que a veces creemos que no son tan importantes ,positive,"AnalyzerOutput(output=POS, probas={POS: 0.514, NEU: 0.445, NEG: 0.040})"
hospital angeles puebla,parece necesario disenar mas actividades practicantes farmacia debido etiquetar medicamentos empaquetarlos brinda ningun aprendizaje pone prueba conocimiento adquirido parece requerira desarrollar nuevas actividades ademas conciliacion etiquetado medicamentos farmacia hospitalaria puede sacar mas provecho,me parece que es necesario disenar mas actividades para practicantes en farmacia debido que el etiquetar medicamentos y empaquetarlos no nos brinda ningun aprendizaje o pone a prueba nuestro conocimiento adquirido me parece que se requerira desarrollar nuevas actividades ademas de conciliacion y etiquetado de medicamentos ya que a la farmacia hospitalaria se le puede sacar mucho mas provecho ,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.761, NEG: 0.181, POS: 0.058})"
hospital angeles puebla,disenen mas actividades practicantes farmacia etiquetar medicamentos pone prueba conocimientos ensena ninguna habilidad nueva pone prueba conocimiento adquirido universidad aunque sabemos necesario gustaria tener hacerlo tiempo aprender nuevo,que disenen mas actividades para los practicantes en farmacia ya que etiquetar medicamentos no pone a prueba nuestros conocimientos no nos ensena ninguna habilidad nueva ni pone a prueba nuestro conocimiento adquirido en la universidad aunque sabemos que es necesario pero nos gustaria no tener que hacerlo todo el tiempo y aprender algo nuevo,negative,"AnalyzerOutput(output=NEU, probas={NEU: 0.820, NEG: 0.122, POS: 0.058})"
cibior,semestre dificil muchas situaciones practicas hicieron sentir mal nunca buena comunicacion companeros supervisor cierto rechazo hacia alumnos escuelas privadas disponibilidad horario nunca respeto llegando citarme pm disponibilidad situacion mas sorprendio responsable elegi practicas siempre sacaba conclusiones observaciones negativas preguntaba cosas solo sabia relegado cumplir actividades bajo rosario sanchez primeras semanas debio instruirme hizo anos tomo cerca meses iniciar trabajo conmigo culpo rosario situacion recta final maestria factor importante culminar estudios ultimas semanas ido practicas material necesario cultivo celular tampoco usar equipos estan laboratorio unica capacitada hacerlo rosario sanchez cabe destacar iniciativa muchas ocasiones llegaba plan trabajo laboratorio encontraba cerrado inasistencia miembros quiero mencionar intencion hacer ambas partes practicas laboratorio mas sano sera solo completar primera parte cumpli horas necesito tener menos experiencia positiva ambito laboral doctora fabiola dominguez cambios radicales frente alumnos ausencia pido advertir futuros estudiantes puedan presentar interes laboratorio cumple actividades colegas hacen gusto tal presentacion investigadores actividades realizar aclaracion dudas siempre recordare calidad humana hacia personas estan bajo direccion trato hacia siempre varible ultimas semanas cortante profesional,"fue un semestre muy dificil y muchas situaciones con practicas me hicieron sentir mal nunca hubo buena comunicacion con mis companeros y supervisor tienen cierto rechazo hacia alumnos de escuelas privadas mi disponibilidad de horario nunca se respeto llegando a citarme  pm cuando mi disponibilidad era de  a  
la situacion que mas me sorprendio es que la responsable que elegi para mis practicas siempre sacaba conclusiones y observaciones negativas cuando yo le preguntaba cosas que solo ella sabia
fui relegado a cumplir actividades bajo rosario sanchez quien en las primeras semanas debio instruirme con lo que ella hizo por  anos le tomo cerca de  meses para iniciar su trabajo conmigo no culpo a rosario por la situacion ella ya estaba en la recta final de la maestria y yo no era factor importante para culminar sus estudios en estas ultimas semanas no he ido a mis practicas porque no hay material necesario para el cultivo celular ni tampoco usar los equipos que estan en el laboratorio ya que la unica capacitada para hacerlo es rosario sanchez
cabe destacar que tuve la iniciativa pero en muchas ocasiones llegaba con plan de trabajo y los el laboratorio donde yo estaba se encontraba cerrado por inasistencia de todos los miembros
quiero mencionar que mi intencion fue hacer ambas partes de practicas en este laboratorio lo mas sano sera solo completar la primera parte con la que ya cumpli horas y necesito tener al menos una experiencia positiva en el ambito laboral

la doctora fabiola dominguez tiene cambios muy radicales frente a los alumnos tanto como en su ausencia pido advertir a futuros estudiantes que puedan presentar interes en su laboratorio que no cumple con las actividades que sus colegas hacen con gusto tal como la presentacion a los investigadores a las actividades a realizar a la aclaracion de dudas y algo que siempre recordare la calidad humana hacia personas que estan bajo su direccion su trato hacia mi siempre fue varible y en las ultimas semanas fue cortante y poco profesional",negative,"AnalyzerOutput(output=NEG, probas={NEG: 0.699, NEU: 0.290, POS: 0.011})"
cinvestav queretaro,cinvestav unidad queretaro buena oportunidad aprender realizar practicas profesionales futuro algun posgrado ademas cinvestav organizacion reconocida pais extranjero especificamente unidad queretaro actualmente pasando momento dificil recortes presupuesto ocasiones dificil avanzar adecuadamente,el cinvestav unidad queretaro es una buena oportunidad para aprender y realizar practicas profesionales o en un futuro algun posgrado ademas de que el cinvestav es una organizacion reconocida en el pais y en el extranjero especificamente unidad queretaro actualmente esta pasando por un momento dificil por los recortes de presupuesto por lo que en ocasiones era algo dificil avanzar adecuadamente ,neutral,"AnalyzerOutput(output=NEU, probas={NEU: 0.629, NEG: 0.314, POS: 0.057})"
gabinete de radiologia y ultrasonido castillo,ambiente trabajo bueno quimicas constantemente brindaron informacion aprendiera cosas nuevas ademas siempre dieron oportunidad aplicar conocimientos adquiridos universidad empresa aumentar capacidad aprendizaje,el ambiente de trabajo es muy bueno y las quimicas constantemente me brindaron informacion para que aprendiera cosas nuevas ademas siempre me dieron oportunidad de aplicar mis conocimientos adquiridos de la universidad y de la empresa para aumentar mi capacidad de aprendizaje,positive,"AnalyzerOutput(output=POS, probas={POS: 0.876, NEU: 0.116, NEG: 0.008})"
